id,attack_date,org_type,org_size,facilities_affected,cyber_threats_tracked,monitoring_freq,backup_compromised,ransomware_infection_rate_(%),data_encrypted,data_stolen,recovery_time_(days),entry_method,paid_ransom,data_restored,ransomware_incidents
RAN202400001,28-06-2024 00:00,Hospital,Large,23,Jan-50,Daily,TRUE,63.3,TRUE,FALSE,64,Exploited Vulnerability,FALSE,36.28,2
RAN202400002,18-12-2024 03:00,Pharma,Medium,4,50-350,Daily,FALSE,59.05,TRUE,TRUE,28,Exploited Vulnerability,TRUE,57.66,6
RAN202400003,12-10-2024 09:00,Research Lab,Small,18,350+,Daily,TRUE,90,TRUE,FALSE,49,Phishing Email,TRUE,61.85,5
RAN202400004,28-07-2024 19:00,Clinic,Small,5,Jan-50,Weekly,TRUE,61.32,FALSE,FALSE,56,Compromised Credentials,FALSE,52.44,5
RAN202400005,27-06-2024 18:00,Hospital,Large,16,350+,Daily,FALSE,53.65,TRUE,TRUE,13,Exploited Vulnerability,TRUE,75.61,2
RAN202400006,25-04-2024 20:00,Hospital,Large,14,Jan-50,More than once per day,FALSE,34.93,TRUE,FALSE,15,Compromised Credentials,FALSE,54.04,3
RAN202400007,01-12-2024 22:00,Hospital,Medium,19,50-350,Daily,TRUE,57.07,TRUE,FALSE,39,Exploited Vulnerability,TRUE,62.56,3
RAN202400008,18-04-2024 02:00,Insurance,Large,14,350+,Daily,FALSE,48.08,FALSE,TRUE,16,Exploited Vulnerability,TRUE,75.96,5
RAN202400009,17-04-2024 17:00,Clinic,Small,9,Jan-50,Monthly,FALSE,47.36,TRUE,FALSE,45,Exploited Vulnerability,FALSE,22.56,1
RAN202400010,02-08-2024 18:00,Research Lab,Medium,6,50-350,Weekly,TRUE,75.27,TRUE,FALSE,47,Phishing Email,TRUE,45.12,6
RAN202400011,05-03-2024 03:00,Hospital,Medium,17,Jan-50,Weekly,TRUE,77.72,TRUE,FALSE,84,Phishing Email,TRUE,37.53,7
RAN202400012,19-03-2024 23:00,Pharma,Medium,19,50-350,Daily,FALSE,46.23,TRUE,FALSE,28,Exploited Vulnerability,TRUE,69.87,3
RAN202400013,03-04-2024 09:00,Insurance,Medium,12,50-350,Weekly,FALSE,65.66,TRUE,FALSE,41,Compromised Credentials,TRUE,44.87,2
RAN202400014,03-04-2024 12:00,Hospital,Medium,4,50-350,Daily,TRUE,67.38,TRUE,FALSE,62,Compromised Credentials,TRUE,42.08,5
RAN202400015,29-01-2024 12:00,Hospital,Large,16,Jan-50,Weekly,TRUE,74.91,TRUE,TRUE,66,Exploited Vulnerability,TRUE,47.01,7
RAN202400016,15-04-2024 08:00,Hospital,Large,11,Jan-50,More than once per day,TRUE,49.21,TRUE,TRUE,46,Exploited Vulnerability,FALSE,32.73,2
RAN202400017,20-09-2024 10:00,Hospital,Medium,22,Jan-50,Daily,TRUE,74.31,TRUE,FALSE,98,Compromised Credentials,FALSE,25.02,2
RAN202400018,05-01-2024 09:00,Clinic,Small,4,Jan-50,Daily,TRUE,60.95,TRUE,FALSE,52,Exploited Vulnerability,FALSE,12.06,3
RAN202400019,12-04-2024 00:00,Clinic,Medium,17,50-350,Daily,TRUE,56.26,FALSE,FALSE,55,Phishing Email,FALSE,40.68,6
RAN202400020,28-08-2024 21:00,Hospital,Large,8,350+,Monthly,FALSE,47.66,TRUE,FALSE,14,Exploited Vulnerability,FALSE,40.56,2
RAN202400021,15-11-2024 13:00,Clinic,Medium,14,50-350,Daily,FALSE,50.88,TRUE,FALSE,38,Exploited Vulnerability,FALSE,0,5
RAN202400022,06-03-2024 06:00,Hospital,Medium,2,50-350,Daily,TRUE,43.02,TRUE,FALSE,33,Compromised Credentials,TRUE,58.52,1
RAN202400023,16-10-2024 00:00,Hospital,Large,11,350+,Daily,TRUE,59.54,TRUE,FALSE,30,Compromised Credentials,FALSE,31.94,5
RAN202400024,16-07-2024 07:00,Hospital,Medium,11,50-350,Monthly,TRUE,38.65,TRUE,FALSE,36,Compromised Credentials,TRUE,66.76,4
RAN202400025,22-01-2024 04:00,Clinic,Small,24,350+,Daily,TRUE,62.94,TRUE,FALSE,46,Exploited Vulnerability,FALSE,39.4,5
RAN202400026,17-03-2024 06:00,Research Lab,Medium,22,50-350,Weekly,FALSE,56.78,TRUE,FALSE,38,Exploited Vulnerability,FALSE,24.84,4
RAN202400027,04-08-2024 00:00,Hospital,Large,24,Jan-50,Monthly,FALSE,55.14,FALSE,FALSE,56,Phishing Email,FALSE,27.47,3
RAN202400028,26-12-2024 23:00,Clinic,Small,6,Jan-50,Daily,TRUE,46.22,TRUE,FALSE,57,Exploited Vulnerability,TRUE,55.38,4
